,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 14 SEPTEMBRE 2022,14,TIRAGE «PREMIERE HEURE» N°212,10,21,04,78
1,MERCREDI 14 SEPTEMBRE 2022,23,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°212,55,65,85,39
2,MARDI 13 SEPTEMBRE 2022,82,TIRAGE « LUCKY TUESDAY » N°782,86,39,37,44
3,MARDI 13 SEPTEMBRE 2022,64,TIRAGE « EMERGENCE » NUMEROS MACHINE N°333,89,19,55,84
4,MARDI 13 SEPTEMBRE 2022,47,TIRAGE « EMERGENCE » N°333,50,71,25,52
5,MARDI 13 SEPTEMBRE 2022,78,TIRAGE « LA MATINALE » NUMEROS MACHINE N°212,16,90,74,18
6,MARDI 13 SEPTEMBRE 2022,26,TIRAGE « LA MATINALE » N°212,04,06,67,86
7,LUNDI 12 SEPTEMBRE 2022,56,TIRAGE «AKWABA» NUMEROS MACHINE N°193,28,80,88,46
8,LUNDI 12 SEPTEMBRE 2022,21,TIRAGE «AKWABA» N°193,65,44,33,52
9,LUNDI 12 SEPTEMBRE 2022,26,TIRAGE «ETOILE» NUMEROS MACHINE N°332,39,13,10,57
10,LUNDI 12 SEPTEMBRE 2022,15,TIRAGE «ETOILE» N°332,24,17,72,14
11,SAMEDI 10 SEPTEMBRE 2022,32,TIRAGE « MOAYE » NUMEROS MACHINE N°192,05,46,03,83
