,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 8 MARS 2022,36,TIRAGE « EMERGENCE » N°306,55,27,80,60
1,MARDI 8 MARS 2022,61,TIRAGE « EMERGENCE » NUMEROS MACHINE N°306,68,47,16,42
2,MARDI 8 MARS 2022,26,TIRAGE « LA MATINALE » N°185,66,43,50,42
3,MARDI 8 MARS 2022,34,TIRAGE « LA MATINALE » NUMEROS MACHINE N°185,45,29,06,84
4,LUNDI 7 MARS 2022,50,TIRAGE «SPECIAL DAYS OFF» N°24,07,68,53,82
5,LUNDI 7 MARS 2022,37,TIRAGE «SPECIAL DAYS OFF» NUMEROS MACHINE N°24,23,46,51,08
6,LUNDI 7 MARS 2022,40,TIRAGE «AKWABA» N°166,53,22,15,81
7,LUNDI 7 MARS 2022,58,TIRAGE «AKWABA» NUMEROS MACHINE N°166,23,16,25,11
8,LUNDI 7 MARS 2022,57,TIRAGE «ETOILE» N°304,49,69,26,29
9,LUNDI 7 MARS 2022,46,TIRAGE «ETOILE» NUMEROS MACHINE N°304,31,81,05,20
10,LUNDI 7 MARS 2022,56,TIRAGE «REVEIL» N°185,86,22,58,64
11,LUNDI 7 MARS 2022,19,TIRAGE «REVEIL» NUMEROS MACHINE N°185,81,88,03,28
