,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 23 OCTOBRE 2022,37,TIRAGE «AWALE» N°197,41,81,32,11
1,DIMANCHE 23 OCTOBRE 2022,54,TIRAGE «AWALE» NUMEROS MACHINE N°197,64,55,75,12
2,DIMANCHE 23 OCTOBRE 2022,53,TIRAGE «PRESTIGE» N°266,77,89,54,44
3,DIMANCHE 23 OCTOBRE 2022,09,TIRAGE «PRESTIGE» NUMEROS MACHINE N°266,17,24,06,86
4,DIMANCHE 23 OCTOBRE 2022,41,TIRAGE «BENEDICTION» N°218,13,63,35,23
5,DIMANCHE 23 OCTOBRE 2022,19,TIRAGE «BENEDICTION» NUMEROS MACHINE N°218,01,46,06,36
6,DIMANCHE 23 OCTOBRE 2022,14,TIRAGE «ESPOIR» N°235,69,51,23,19
7,DIMANCHE 23 OCTOBRE 2022,83,TIRAGE «ESPOIR» NUMEROS MACHINE N°235,59,09,13,81
8,SAMEDI 22 OCTOBRE 2022,75,TIRAGE «SATURDAY NATIONAL » N°3131,47,87,09,14
9,SAMEDI 22 OCTOBRE 2022,33,TIRAGE « MOAYE » NUMEROS MACHINE N°198,43,53,38,62
10,SAMEDI 22 OCTOBRE 2022,51,TIRAGE « MOAYE » N°198,49,22,45,09
11,SAMEDI 22 OCTOBRE 2022,75,TIRAGE « DIAMANT» NUMEROS MACHINE N°747,36,86,54,07
